,BREED_ID,PET_ID,GENDER,NEUTER_DATE,VISIT_DATE,VISIT_AGE,WEIGHT,BCS_RECORDED,BCS_PREDICTED,PREVENTIVE_CARE_VISIT,HEALTHY_PET_DIAGNOSIS,AV_BREED_WEIGHT,Age (Days),Age (Weeks)
5955721,1,28628,FS,2012-08-13,2012-04-03T04:00:00Z,0.142,4.944,None,None,N,N,54.216,51.12,7.3839999999999995
5832437,1,2693,M,Unknown,2003-01-22T05:00:00Z,0.29,15.513,None,None,Y,Y,54.216,104.39999999999999,15.079999999999998
5878002,1,13425,F,Unknown,2007-04-02T04:00:00Z,0.27,15.876,None,None,N,N,54.216,97.2,14.040000000000001
5940905,1,25700,MN,2012-02-17,2011-11-04T04:00:00Z,0.732,49.442,None,None,Y,Y,54.216,263.52,38.064
5835810,1,3910,M,Unknown,1997-09-05T04:00:00Z,0.155,4.4,None,None,Y,N,54.216,55.8,8.06
5869329,1,11555,MN,Unknown,2006-05-03T04:00:00Z,0.837,40.823,None,None,N,N,54.216,301.32,43.524
5934297,1,24445,FS,2011-03-28,2011-01-24T05:00:00Z,0.239,13.88,None,None,Y,Y,54.216,86.03999999999999,12.427999999999999
5954637,1,28404,MN,2012-11-03,2012-04-10T04:00:00Z,0.42,46.947,None,None,Y,Y,54.216,151.2,21.84
5849467,1,7580,FS,Unknown,2006-01-28T05:00:00Z,0.957,47.899,None,None,N,N,54.216,344.52,49.763999999999996
5951601,1,27793,FS,2012-05-04,2012-05-04T04:00:00Z,0.439,35.199,None,None,N,Y,54.216,158.04,22.828
5962529,1,30198,FS,2012-10-13,2012-12-22T05:00:00Z,0.811,46.72,None,None,Y,Y,54.216,291.96000000000004,42.172000000000004
5962560,1,30210,FS,2013-01-22,2012-09-03T04:00:00Z,0.337,18.234,None,None,N,N,54.216,121.32000000000001,17.524
5830410,1,1934,FS,2004-03-26,2004-09-30T04:00:00Z,0.983,49.941,None,None,N,N,54.216,353.88,51.116
5936507,1,24853,F,Unknown,2012-06-20T04:00:00Z,1.577,54.25,Normal,None,N,N,54.216,567.72,82.00399999999999
5948867,1,27265,MN,Unknown,2012-09-20T04:00:00Z,1.058,49.578,None,None,N,N,54.216,380.88,55.016000000000005
5849964,1,7687,M,2006-03-29,2006-03-25T05:00:00Z,0.494,42.774,None,None,N,Y,54.216,177.84,25.688
5863243,1,10304,FS,2005-10-27,2005-08-29T04:00:00Z,0.3,16.783,None,None,Y,Y,54.216,108.0,15.6
5948972,1,27287,MN,2012-02-25,2011-11-05T04:00:00Z,0.419,33.702,None,None,N,N,54.216,150.84,21.788
5905687,1,19253,M,Unknown,2009-05-12T04:00:00Z,0.213,14.696,None,None,Y,Y,54.216,76.67999999999999,11.076
5859893,1,9668,M,Unknown,2004-05-15T04:00:00Z,0.171,6.713,None,None,N,N,54.216,61.56,8.892000000000001
5905561,1,19226,FS,2009-12-01,2011-02-06T05:00:00Z,1.903,39.78,None,None,N,N,54.216,685.08,98.956
5963900,1,30560,FS,2012-11-14,2013-02-01T05:00:00Z,0.469,38.555,None,None,N,Y,54.216,168.84,24.387999999999998
5833339,1,3045,M,Unknown,1996-04-23T04:00:00Z,2.002,62.777,None,None,Y,Y,54.216,720.7199999999999,104.10399999999998
5862544,1,10169,MN,Unknown,2005-10-11T04:00:00Z,2.002,41.186,None,None,Y,Y,54.216,720.7199999999999,104.10399999999998
5848865,1,7465,FS,2004-02-06,2003-11-23T05:00:00Z,0.138,8.029,None,None,N,N,54.216,49.68000000000001,7.176
5849348,1,7558,MN,2004-11-01,2004-12-21T05:00:00Z,0.618,38.147,None,None,N,N,54.216,222.48,32.136
5862951,1,10246,M,Unknown,2005-10-14T04:00:00Z,0.125,3.583,None,None,Y,Y,54.216,45.0,6.5
5953662,1,28204,MN,2012-09-13,2012-03-30T04:00:00Z,0.299,21.772,None,None,Y,Y,54.216,107.64,15.548
5941601,1,25817,M,Unknown,2011-06-15T04:00:00Z,0.186,13.154,None,None,Y,Y,54.216,66.96,9.672
5948152,1,27108,FS,2012-02-13,2013-02-21T05:00:00Z,1.779,51.664,None,None,N,N,54.216,640.4399999999999,92.508
5934214,1,24423,MN,2011-07-13,2011-07-23T04:00:00Z,0.843,53.524,None,None,N,N,54.216,303.48,43.836
5939546,1,25435,M,Unknown,2013-02-07T05:00:00Z,1.996,63.503,None,None,N,N,54.216,718.56,103.792
5860703,1,9805,M,Unknown,2004-12-05T05:00:00Z,0.275,16.103,None,None,Y,Y,54.216,99.00000000000001,14.3
5942786,1,26060,M,Unknown,2012-02-07T05:00:00Z,0.918,55.792,None,None,N,N,54.216,330.48,47.736000000000004
5961011,1,29804,M,Unknown,2012-08-25T04:00:00Z,0.364,20.412,None,None,Y,Y,54.216,131.04,18.928
5887925,1,15524,MN,2008-06-03,2008-03-20T04:00:00Z,0.201,12.02,None,None,N,N,54.216,72.36,10.452
5897004,1,17497,F,Unknown,2008-10-18T04:00:00Z,1.336,38.555,None,None,N,N,54.216,480.96000000000004,69.47200000000001
5929024,1,23481,FS,Unknown,2011-06-25T04:00:00Z,2.912,63.73,None,None,Y,N,54.216,1048.32,151.424
5830830,1,2072,M,Unknown,2000-03-28T05:00:00Z,0.336,19.686,None,None,N,N,54.216,120.96000000000001,17.472
5950979,1,27672,FS,Unknown,2012-06-20T04:00:00Z,2.549,37.331,None,None,Y,Y,54.216,917.64,132.548
